"","day","month","year","return","price.close"
"18042",9,11,1999,-0.851844279621464,1365.280029
"18043",10,11,1999,0.599139504442279,1373.459961
"18044",11,11,1999,0.582470565372382,1381.459961
"18045",12,11,1999,1.05686001854381,1396.060059
"18046",15,11,1999,-0.119625512472308,1394.390015
"18047",16,11,1999,1.84166056295233,1420.069946
"18048",17,11,1999,-0.659121406404305,1410.709961
"18049",18,11,1999,1.00871053536143,1424.939941
"18050",19,11,1999,-0.206320344837614,1422
"18051",22,11,1999,-0.0745470464134958,1420.939941
"18052",23,11,1999,-1.14712279735968,1404.640015
"18053",24,11,1999,0.885631967419075,1417.079956
"18054",26,11,1999,-0.0324583660966002,1416.619995
"18055",29,11,1999,-0.620493783161657,1407.829956
"18056",30,11,1999,-1.34390676369441,1388.910034
"18057",1,12,1999,0.634305807023926,1397.719971
"18058",2,12,1999,0.809895274795354,1409.040039
"18059",3,12,1999,1.72174028618927,1433.300049
"18060",6,12,1999,-0.695604036779036,1423.329956
"18061",7,12,1999,-0.994843953105142,1409.170044
"18062",8,12,1999,-0.375401039961362,1403.880005
"18063",9,12,1999,0.301306378389517,1408.109985
"18064",10,12,1999,0.634187250650021,1417.040039
"18065",13,12,1999,-0.128441536576793,1415.219971
"18066",14,12,1999,-0.851452583126388,1403.170044
"18067",15,12,1999,0.724068479329657,1413.329956
"18068",16,12,1999,0.385619294126104,1418.780029
"18069",17,12,1999,0.158586951747965,1421.030029
"18070",20,12,1999,-0.206896613020133,1418.089966
"18071",21,12,1999,1.08174293364966,1433.430054
"18072",22,12,1999,0.188355964245749,1436.130005
"18073",23,12,1999,1.54651465554471,1458.339966
"18074",27,12,1999,-0.0850274989995052,1457.099976
"18075",28,12,1999,0.0384364840590751,1457.660034
"18076",29,12,1999,0.397892983598124,1463.459961
"18077",30,12,1999,0.0690152123676697,1464.469971
"18078",31,12,1999,0.326399932716682,1469.25
"18079",3,1,2000,-0.954910940956271,1455.219971
"18080",4,1,2000,-3.83446682371019,1399.420044
"18081",5,1,2000,0.192218270099331,1402.109985
"18082",6,1,2000,0.0955678238037798,1403.449951
"18083",7,1,2000,2.7090399606277,1441.469971
"18084",10,1,2000,1.11899694926076,1457.599976
"18085",11,1,2000,-1.30625118780875,1438.560059
"18086",12,1,2000,-0.438637160855577,1432.25
"18087",13,1,2000,1.21697008203875,1449.680054
"18088",14,1,2000,1.06712994755739,1465.150024
"18089",18,1,2000,-0.683207100708486,1455.140015
"18090",19,1,2000,0.0522292694974842,1455.900024
"18091",20,1,2000,-0.7095320990255,1445.569946
"18092",21,1,2000,-0.291231912481945,1441.359985
"18093",24,1,2000,-2.76335935605983,1401.530029
"18094",25,1,2000,0.606480048527023,1410.030029
"18095",26,1,2000,-0.421272091929328,1404.089966
"18096",27,1,2000,-0.393842783148277,1398.560059
"18097",28,1,2000,-2.7456829438885,1360.160034
"18098",31,1,2000,2.52175671557778,1394.459961
"18099",1,2,2000,1.06278189510527,1409.280029
"18100",2,2,2000,-0.0113557275138251,1409.119995
"18101",3,2,2000,1.1248137884808,1424.969971
"18102",4,2,2000,-0.0421044662140441,1424.369995
"18103",7,2,2000,-0.00912719310687128,1424.23999
"18104",8,2,2000,1.22731991256614,1441.719971
"18105",9,2,2000,-2.08154222759254,1411.709961
"18106",10,2,2000,0.362680376383631,1416.829956
"18107",11,2,2000,-2.09693201884842,1387.119995
"18108",14,2,2000,0.20329502928116,1389.939941
"18109",15,2,2000,0.871268437058307,1402.050049
"18110",16,2,2000,-1.02564134641673,1387.670044
"18111",17,2,2000,0.0425148616957537,1388.26001
"18112",18,2,2000,-3.03761857982209,1346.089966
"18113",22,2,2000,0.451684371295578,1352.170044
"18114",23,2,2000,0.630090648569355,1360.689941
"18115",24,2,2000,-0.533544548338817,1353.430054
"18116",25,2,2000,-1.48290404374306,1333.359985
"18117",28,2,2000,1.10173277773893,1348.050049
"18118",29,2,2000,1.36270867788827,1366.420044
"18119",1,3,2000,0.93455135235122,1379.189941
"18120",2,3,2000,0.186346269182939,1381.76001
"18121",3,3,2000,1.98370439161863,1409.170044
"18122",6,3,2000,-1.26954266989797,1391.280029
"18123",7,3,2000,-2.56310974474571,1355.619995
"18124",8,3,2000,0.817334949386022,1366.699951
"18125",9,3,2000,2.56018081908895,1401.689941
"18126",10,3,2000,-0.472286688115715,1395.069946
"18127",13,3,2000,-0.820743865411896,1383.619995
"18128",14,3,2000,-1.76854707856401,1359.150024
"18129",15,3,2000,2.4272516217827,1392.140015
"18130",16,3,2000,4.76460379597666,1458.469971
"18131",17,3,2000,0.411390026486874,1464.469971
"18132",20,3,2000,-0.535344947677319,1456.630005
"18133",21,3,2000,2.55658539726429,1493.869995
"18134",22,3,2000,0.453186691121668,1500.640015
"18135",23,3,2000,1.77990462289519,1527.349976
"18136",24,3,2000,0.00720103458462696,1527.459961
"18137",27,3,2000,-0.235683820978399,1523.859985
"18138",28,3,2000,-1.05849652584716,1507.72998
"18139",29,3,2000,0.0523993029574077,1508.52002
"18140",30,3,2000,-1.36557524771862,1487.920044
"18141",31,3,2000,0.71643043206427,1498.579956
"18142",3,4,2000,0.493134515139608,1505.969971
"18143",4,4,2000,-0.746362226103107,1494.72998
"18144",5,4,2000,-0.492395623188079,1487.369995
"18145",6,4,2000,0.939239802265877,1501.339966
"18146",7,4,2000,0.999774224354457,1516.349976
"18147",10,4,2000,-0.784120762897018,1504.459961
"18148",11,4,2000,-0.257234828464805,1500.589966
"18149",12,4,2000,-2.22711885040021,1467.170044
"18150",13,4,2000,-1.81710593867605,1440.51001
"18151",14,4,2000,-5.82779365760881,1356.560059
"18152",17,4,2000,3.30835938315063,1401.439941
"18153",18,4,2000,2.86634074174713,1441.609985
"18154",19,4,2000,-0.980848783452347,1427.469971
"18155",20,4,2000,0.495286636050713,1434.540039
"18156",24,4,2000,-0.326240737293212,1429.859985
"18157",25,4,2000,3.32759546383138,1477.439941
"18158",26,4,2000,-1.11340911691246,1460.98999
"18159",27,4,2000,0.268999378975891,1464.920044
"18160",28,4,2000,-0.852605577427681,1452.430054
"18161",1,5,2000,1.08920536010886,1468.25
"18162",2,5,2000,-1.49565544014984,1446.290039
"18163",3,5,2000,-2.15655657986593,1415.099976
"18164",4,5,2000,-0.39078723014549,1409.569946
"18165",5,5,2000,1.63596415101205,1432.630005
"18166",8,5,2000,-0.590519601744626,1424.170044
"18167",9,5,2000,-0.844704538666733,1412.140015
"18168",10,5,2000,-2.05999162200641,1383.050049
"18169",11,5,2000,1.7902468546169,1407.810059
"18170",12,5,2000,0.934067910364328,1420.959961
"18171",15,5,2000,2.2097754237848,1452.359985
"18172",16,5,2000,0.941918955444089,1466.040039
"18173",17,5,2000,-1.24416724746765,1447.800049
"18174",18,5,2000,-0.731460674235681,1437.209961
"18175",19,5,2000,-2.10546898651783,1406.949951
"18176",22,5,2000,-0.442800399230411,1400.719971
"18177",23,5,2000,-1.91758428209059,1373.859985
"18178",24,5,2000,1.83352483331843,1399.050049
"18179",25,5,2000,-1.25299513141292,1381.52002
"18180",26,5,2000,-0.253344139015807,1378.02002
"18181",30,5,2000,3.22418617691782,1422.449951
"18182",31,5,2000,-0.130055542460354,1420.599976
"18183",1,6,2000,1.98578653221095,1448.810059
"18184",2,6,2000,1.96367707576774,1477.26001
"18185",5,6,2000,-0.651882873347393,1467.630005
"18186",6,6,2000,-0.667064516713801,1457.839966
"18187",7,6,2000,0.92740076519483,1471.359985
"18188",8,6,2000,-0.658570376983583,1461.670044
"18189",9,6,2000,-0.322924658637932,1456.949951
"18190",12,6,2000,-0.75156672282973,1446
"18191",13,6,2000,1.6210194329184,1469.439941
"18192",14,6,2000,0.0748651216905972,1470.540039
"18193",15,6,2000,0.556934240673204,1478.72998
"18194",16,6,2000,-0.965018576278547,1464.459961
"18195",19,6,2000,1.47085202556794,1486
"18196",20,6,2000,-0.676315545087479,1475.949951
"18197",21,6,2000,0.215458118877632,1479.130005
"18198",22,6,2000,-1.82201367756042,1452.180054
"18199",23,6,2000,-0.736828327212368,1441.47998
"18200",26,6,2000,0.959436079022051,1455.310059
"18201",27,6,2000,-0.327078753463077,1450.550049
"18202",28,6,2000,0.294363989918429,1454.819946
"18203",29,6,2000,-0.854396520626211,1442.390015
"18204",30,6,2000,0.84650897975053,1454.599976
"18205",3,7,2000,1.02709083229079,1469.540039
"18206",5,7,2000,-1.58621462371737,1446.22998
"18207",6,7,2000,0.72188131516952,1456.670044
"18208",7,7,2000,1.52608204524868,1478.900024
"18209",10,7,2000,-0.221788420229278,1475.619995
"18210",11,7,2000,0.356461014205759,1480.880005
"18211",12,7,2000,0.813032721040756,1492.920044
"18212",13,7,2000,0.195584620337514,1495.839966
"18213",14,7,2000,0.945289223539844,1509.97998
"18214",17,7,2000,0.0337759444996063,1510.48999
"18215",18,7,2000,-1.10891168500892,1493.73999
"18216",19,7,2000,-0.788626473071797,1481.959961
"18217",20,7,2000,0.91837737578391,1495.569946
"18218",21,7,2000,-1.02837082552607,1480.189941
"18219",24,7,2000,-1.07417984405828,1464.290039
"18220",25,7,2000,0.695212815007069,1474.469971
"18221",26,7,2000,-1.49544768178938,1452.420044
"18222",27,7,2000,-0.192785070101934,1449.619995
"18223",28,7,2000,-2.05088092759096,1419.890015
"18224",31,7,2000,0.770478057062757,1430.829956
"18225",1,8,2000,0.508098112533502,1438.099976
"18226",2,8,2000,0.0417199784446757,1438.699951
"18227",3,8,2000,0.963377248353007,1452.560059
"18228",4,8,2000,0.713911616648687,1462.930054
"18229",7,8,2000,1.12034693355204,1479.319946
"18230",8,8,2000,0.235250191103681,1482.800049
"18231",9,8,2000,-0.669682605331498,1472.869995
"18232",10,8,2000,-0.856830205166887,1460.25
"18233",11,8,2000,0.793697380585516,1471.839966
"18234",14,8,2000,1.3398258951748,1491.560059
"18235",15,8,2000,-0.478023325777456,1484.430054
"18236",16,8,2000,-0.308541179670831,1479.849976
"18237",17,8,2000,1.09605502335056,1496.069946
"18238",18,8,2000,-0.290760135355335,1491.719971
"18239",21,8,2000,0.520205477627147,1499.47998
"18240",22,8,2000,-0.090029544775922,1498.130005
"18241",23,8,2000,0.523316799866111,1505.969971
"18242",24,8,2000,0.155387427708539,1508.310059
"18243",25,8,2000,-0.123323980298394,1506.449951
"18244",28,8,2000,0.507153589465645,1514.089966
"18245",29,8,2000,-0.280696662380497,1509.839966
"18246",30,8,2000,-0.480183341497267,1502.589966
"18247",31,8,2000,1.00427184670817,1517.680054
"18248",1,9,2000,0.203597984427356,1520.77002
"18249",5,9,2000,-0.900206067976004,1507.079956
"18250",6,9,2000,-0.984019191613483,1492.25
"18251",7,9,2000,0.687553023957109,1502.51001
"18252",8,9,2000,-0.533108594730758,1494.5
"18253",11,9,2000,-0.350618266978925,1489.26001
"18254",12,9,2000,-0.488163245583955,1481.98999
"18255",13,9,2000,0.197035338949891,1484.910034
